title,date,venue,price,link,date_and_time,location,artists
Les Clopes + Scimia + Blank\\,jeu. 4 janv.,Supersonic,Gratuit,https://dice.fm/event/qp2ny-les-clopes-scimia-blank-4th-jan-supersonic-paris-tickets,,,
Plastic Palms + Clamn Dever + Panty Panty,jeu. 4 janv.,L'international,8 €,https://dice.fm/event/xym5a-plastic-palms-clamn-dever-panty-panty-4th-jan-linternational-paris-tickets,"jeu. 4 janv., 19:00","5 Rue Moret, 75011 Paris, France","Plastic Palms, Clamn Dever, PanTy PanTy"
Simone's Carpet + Lavomatic,ven. 5 janv.,Supersonic,Gratuit,https://dice.fm/event/373kp-simones-carpet-lavomatic-5th-jan-supersonic-paris-tickets,"ven. 5 janv., 19:00","9 Rue Biscornet, 75012 Paris, France","Lavomatic, Simone's Carpet"
The Wolf You Feed + Gargantura + Cerbera,ven. 5 janv.,L'international,7 €,https://dice.fm/event/v2wkl-the-wolf-you-feed-gargantura-cerbera-5th-jan-linternational-paris-tickets,"ven. 5 janv., 19:00","5 Rue Moret, 75011 Paris, France","The Wolf You Feed, Cerbera, Gargantura"
La nuit des chansons tristes,ven. 5 janv.,Anti Club du Cirque électrique,8 €,https://dice.fm/event/v2vvg-la-nuit-des-chansons-tristes-5th-jan-anti-club-du-cirque-lectrique-paris-tickets,"ven. 5 janv., 19:30","Place Du Maquis Du Vercors, 75020 Paris, France","Nutsz, jakeVII, sang9"
Laurie Xhaard + Thomas Baignères,ven. 5 janv.,POPUP!,Gratuit,https://dice.fm/event/don3q-laurie-xhaard-thomas-baignres-5th-jan-popup-paris-tickets,"ven. 5 janv., 20:00","14 Rue Abel, 75012 Paris, France",Thomas Baignères
"33 Dogs, I Scream, Luciano & The Clouds, DJ Set",ven. 5 janv.,Le Sub Pigalle,"11,80 €",https://dice.fm/event/mglev-33-dogs-i-scream-luciano-the-clouds-dj-set-5th-jan-le-sub-pigalle-paris-tickets,"ven. 5 janv., 21:00","3 Place De Clichy, 75008 Paris, France","33 Dogs, I scream, Luciano & The Clouds"
Gin Sonic,ven. 5 janv.,POPUP!,Gratuit,https://dice.fm/event/7wmp9-gin-sonic-5th-jan-popup-paris-tickets,"ven. 5 janv., 23:00","14 Rue Abel, 75012 Paris, France",
Caribbean groove dur les toits de paris,ven. 5 janv.,Tout Le Monde en Parle,À partir de Gratuit,https://dice.fm/event/lkoql-caribbean-groove-dur-les-toits-de-paris-5th-jan-tout-le-monde-en-parle-paris-tickets,"ven. 5 janv., 23:00","4 Rue Du Départ, 75015 Paris, France","Fermeture, djsprinter"
Pam Risourié + Fishtalk + Scarabs,sam. 6 janv.,Supersonic,Gratuit,https://dice.fm/event/56re8-pam-risouri-fishtalk-scarabs-6th-jan-supersonic-paris-tickets,"sam. 6 janv., 19:00","9 Rue Biscornet, 75012 Paris, France","Scarabs, Fishtalk, Pam Risourié"
Les Petits Artistes,sam. 6 janv.,La Boule Noire,18 €,https://dice.fm/event/7wyrv-les-petits-artistes-6th-jan-la-boule-noire-paris-tickets,"sam. 6 janv., 19:30","120 Boulevard de Rochechouart, 75018 Paris, France",
BOOM 80's du Marcounet,sam. 6 janv.,Péniche Marcounet,Gratuit,https://dice.fm/event/68xx8-boom-80s-du-marcounet-6th-jan-pniche-marcounet-paris-tickets,"sam. 6 janv., 20:00 UTC+1","Port de l'Hotel de Ville, Paris 75004",
Rêves Party 8 💙,sam. 6 janv.,Point Ephémère,18 €,https://dice.fm/event/qprp9-rves-party-8-6th-jan-point-ephmre-paris-tickets,"sam. 6 janv., 20:00","200 Quai de Valmy, 75010 Paris-10E-Arrondissement, France",
"Élettel Teli, Blond Idiocracy, Ullmann Kararocke feat Dakota & DJ Set",sam. 6 janv.,Le Sub Pigalle,"11,80 €",https://dice.fm/event/37gev-lettel-teli-blond-idiocracy-ullmann-kararocke-feat-dakota-dj-set-6th-jan-le-sub-pigalle-paris-tickets,"sam. 6 janv., 21:00","3 Place De Clichy, 75008 Paris, France","ÉLETTEL TELI, BLOND IDIOCRACY, Dakota"
Opäk 'Dohrnii’ Release Party (Kluster Records),sam. 6 janv.,La Marbrerie,"À partir de 11,02 €",https://dice.fm/event/v2a87-opk-dohrnii-release-party-kluster-records-6th-jan-la-marbrerie-paris-tickets,"sam. 6 janv., 22:00","21 Rue Alexis Lepere, 93100 Montreuil, France","Opäk, ILLNURSE, Maemm, Eyrah"
Forensics x Gegen,sam. 6 janv.,La Machine du Moulin Rouge,"À partir de 19,08 €",https://dice.fm/event/37q2x-forensics-x-gegen-6th-jan-la-machine-du-moulin-rouge-paris-tickets,"sam. 6 janv., 23:00","90 Boulevard de Clichy, 75018 Paris, France",
Reggaeton party sur les toits de paris,sam. 6 janv.,Tout Le Monde en Parle,À partir de Gratuit,https://dice.fm/event/klnxo-reggaeton-party-sur-les-toits-de-paris-6th-jan-tout-le-monde-en-parle-paris-tickets,"sam. 6 janv., 23:00","4 Rue Du Départ, 75015 Paris, France","Fermeture des portes, djalkior"
LE ROYAUME DE L'EFFERVESCENCE,sam. 6 janv.,RedLight,"À partir de 11,22 €",https://dice.fm/event/n5wwl-le-royaume-de-leffervescence-6th-jan-redlight-paris-tickets,"sam. 6 janv., 23:30","34-36 Rue Du Départ, 75015 Paris, France",Fermeture des portes
BRUNCH : Lana Gray & Sidney Rodrigues,dim. 7 janv.,Péniche Marcounet,Gratuit,https://dice.fm/event/lk3vp-brunch-lana-gray-sidney-rodrigues-7th-jan-pniche-marcounet-paris-tickets,"dim. 7 janv., 12:00 UTC+1","Port de l'Hotel de Ville, Paris 75004","Lana Gray, Sidney Rodrigues"
