,Unnamed: 0,Event Title,Organizer,Artists,Location,Venue Name,Venue Link,Heure,Date,Price,Event Link,Genres
0,0,COLISEUM - THE BURNING LANDS,Amnexia,"Darktek, Teksa, A5KM, La Kajofol, Sasio, Rawcket, Flodzi","100 Av. du Général Leclerc, 93500 Pantin, France",Nexus,"https://www.google.com/maps/search/Nexus%2C%20100%20Av.%20du%20G%C3%A9n%C3%A9ral%20Leclerc%2C%2093500%20Pantin%2C%20France/@48.8971575,2.405313,17z",23:00 à 07:00,2023-12-23,"16,99 €",https://shotgun.live/events/coliseum-the-burning-lands,"hardcore, hardtek, acidcore, hardstyle, hard techno, techno"
1,1,PANTHEON presents : AMINE K & DAVIDE SQUILLACE - 23/12,Maori Production,"Amine K (Moroko Loko), davide squillace, NAMU","8 Port des Invalides, 75007 Paris, France",Non mentionné,"https://www.google.com/maps/search/8%20Port%20des%20Invalides%2C%2075007%20Paris%2C%20France/@48.863155,2.312947,17z",23:45 à 06:00,2023-12-23,"21,00 €",https://shotgun.live/events/pantheon-presents-amine-k-davide-squillace-23-12,
2,2,"IVORY (AFTERLIFE/INNERVISIONS), MIMI x FY, SINGI I DUST",DUST,"Ivory, MĪMĪ x FY, Singi","Palais De Tokyo, 13 Av. du Président Wilson, 75016 Paris, France",YOYO,"https://www.google.com/maps/search/YOYO%2C%20Palais%20De%20Tokyo%2C%2013%20Av.%20du%20Pr%C3%A9sident%20Wilson%2C%2075016%20Paris%2C%20France/@48.864188,2.296512,17z",23:45 à 06:00,2023-12-23,"31,50 €",https://shotgun.live/events/ivory-afterlife-innervisions-mimi-x-fy-singi-i-dust,"deep house, techno, melodic house & techno, electro, tech house"
3,3,Un Noël latino !,LA BELLEVILLOISE,,"19-21 Rue Boyer, 75020 Paris, France",La Bellevilloise,"https://www.google.com/maps/search/La%20Bellevilloise%2C%2019-21%20Rue%20Boyer%2C%2075020%20Paris%2C%20France/@48.8683511,2.3921569,17z",23:00 à 05:30,2023-12-23,"12,10 €",https://shotgun.live/events/un-noel-latino,"salsa, reggaeton, baile funk"
4,4,RÊVE PARTY - Péniche Cinéma - Techno to Trance,StereOrganic Productions,"Abiotiq - Bom Shanka Music, Auri0n, Otezuka, k0uci, Hemei, dj_kinokosan, Alix","59 Bd Macdonald, 75019 Paris, France",La Péniche Cinéma - Le Baruda,"https://www.google.com/maps/search/La%20P%C3%A9niche%20Cin%C3%A9ma%20-%20Le%20Baruda%2C%2059%20Bd%20Macdonald%2C%2075019%20Paris%2C%20France/@48.8951057,2.3923174,17z",23:00 à 07:00,2023-12-23,"10,99 €",https://shotgun.live/events/reve-party-peniche-cinema-techno-to-trance,"techno, hard techno, psytrance, dark psytrance"
5,5,NAVA - FOLIES PIGALLE,LES FOLIES PIGALLE,,"11 Pl. Pigalle, 75009 Paris, France",Folies Pigalle,"https://www.google.com/maps/search/Folies%20Pigalle%2C%2011%20Pl.%20Pigalle%2C%2075009%20Paris%2C%20France/@48.8819903,2.3368769,17z",23:00 à 06:00,2023-12-23,"12,99 €",https://shotgun.live/events/nava-folies-pigalle,"rap, trap, hip hop, techno, dance"
6,6,Club — Dam Swindle all night long,BADABOUM,Dam Swindle,"2 bis Rue des Taillandiers, 75011 Paris, France",Badaboum,"https://www.google.com/maps/search/Badaboum%2C%202%20bis%20Rue%20des%20Taillandiers%2C%2075011%20Paris%2C%20France/@48.8535282,2.375755,17z",23:30 à 07:00,2023-12-23,"13,49 €",https://shotgun.live/events/club-dam-swindle-all-night-long,"house, deep house, disco"
7,7,"BELLE EPOQUE! W/ DAVID SHAW AND THE BEAT , EDOUARD!",Silencio Club,"David Shaw And The Beat, Edouard! / Belle Epoque!","142 Rue Montmartre, 75002 Paris, France",Silencio Club,"https://www.google.com/maps/search/Silencio%20Club%2C%20142%20Rue%20Montmartre%2C%2075002%20Paris%2C%20France/@48.8689515,2.3434538,17z",23:00 à 06:00,2023-12-23,"15,00 €",https://shotgun.live/events/belle-epoque-w-david-shaw-and-the-beats,"house, techno"
8,8,All I Want For Christmas Is MEDUZA,LA JAVA,"Deborah Aime La Bagarre, Sean, Tudor, Hippal","105 Rue du Faubourg du Temple, 75010 Paris, France",La Java,"https://www.google.com/maps/search/La%20Java%2C%20105%20Rue%20du%20Faubourg%20du%20Temple%2C%2075010%20Paris%2C%20France/@48.8711155,2.3738277,17z",23:00 à 06:00,2023-12-23,"10,69 €",https://shotgun.live/events/all-i-want-for-christmas-is-meduza,"house, electro"
9,9,Pati,Events Pati,"TERRA BLVCK, FASHIXNKILLA","109 Rue Oberkampf, 75011 Paris, France",Nouveau Casino,"https://www.google.com/maps/search/Nouveau%20Casino%2C%20109%20Rue%20Oberkampf%2C%2075011%20Paris%2C%20France/@48.8658713,2.3778975,17z",23:00 à 17:00,2023-12-23,"15,99 €",https://shotgun.live/events/pati,
10,10,Sacré présente Toy Tonics Jam (special secret linup),Sacré,"Toy Tonics, DJ Suspect","142 Rue Montmartre, 75002 Paris, France",Sacré,"https://www.google.com/maps/search/Sacr%C3%A9%2C%20142%20Rue%20Montmartre%2C%2075002%20Paris%2C%20France/@48.8690667,2.3433652,17z",23:00 à 06:00,2023-12-23,"10,00 €",https://shotgun.live/events/sacre-presente-toy-tonics-jam-special-secret-linup,"house, disco house, disco, funk"
11,11,MOD'S PARTY : The Arrogant + Soul Time,tsc records live,,"5/7 Rue Moret, 75011 Paris, France",L'International,"https://www.google.com/maps/search/L'International%2C%205%2F7%20Rue%20Moret%2C%2075011%20Paris%2C%20France/@48.866729,2.3796746,17z",18:00 à 00:00,2023-12-23,"9,99 €",https://shotgun.live/events/mod-s-party-the-arrogant-soul-time,
12,12,"SKYLAX X GLAZART : Theos, Floorfillers & Hardrock Striker",GLAZART,"théos, SKYLAX, Floorfillers","7 Av. de la Prte de la Villette, 75019 Paris, France",Glazart,"https://www.google.com/maps/search/Glazart%2C%207%20Av.%20de%20la%20Prte%20de%20la%20Villette%2C%2075019%20Paris%2C%20France/@48.899326,2.3867336,17z",23:59 à 06:00,2023-12-23,"12,00 €",https://shotgun.live/events/skylax-x-glazart-theos-floorfillers-hardrock-striker,house
13,13,Heartless Super Club - Live Vacra,All Inc,VACRA (Officiel),"Pl. des Insurgés de Varsovie, 75015 Paris, France",T7,"https://www.google.com/maps/search/T7%2C%20Pl.%20des%20Insurg%C3%A9s%20de%20Varsovie%2C%2075015%20Paris%2C%20France/@48.8279857,2.2886096,17z",23:00 à 06:00,2023-12-23,"23,10 €",https://shotgun.live/events/heartless-super-club-closing-2023,"hip hop, rap, trap"
14,14,GATE & DEEPERS,DEEPERS,"RHOOWAX, Yomi & RonysooL(Insta ronysool_music & yomiperetz), Walli Music (instagram : walli_music), YAZAY, CHAOUAT, Zia Music, _SALOMÉ","2 Pl de la Prte Maillot, 75017 Paris, France",Non mentionné,"https://www.google.com/maps/search/2%20Pl%20de%20la%20Prte%20Maillot%2C%2075017%20Paris%2C%20France/@48.8791548,2.2834885,17z",23:00 à 07:00,2023-12-23,"10,99 €",https://shotgun.live/events/gate-deepers,"tech house, afro house, melodic house & techno, deep house"
15,15,Reggaton party sur les toits de paris,jean BOURBON,Dj Alkior,"4 Rue du Départ, 75015 Paris, France",Tout le Monde en Parle restaurant festif club,"https://www.google.com/maps/search/Tout%20le%20Monde%20en%20Parle%20restaurant%20festif%20club%2C%204%20Rue%20du%20D%C3%A9part%2C%2075015%20Paris%2C%20France/@48.8429668,2.3230198,17z",23:00 à 05:00,2023-12-23,"15,99 €",https://shotgun.live/events/reggaton-party-sur-les-toits-de-paris,"reggaeton, salsa, brazilian, hip hop, world music"
16,16,NOCTURNAL SPELLS #1 @Caves Saint Sabin [Paris] - 23.12.2023,Lilla Records,"MøMz, Mowglitch, Kaprika, Hyphae - Soundblasting Records, ESTHERRR","50 Rue St Sabin, 75011 Paris, France",Les Caves Saint-Sabin,"https://www.google.com/maps/search/Les%20Caves%20Saint-Sabin%2C%2050%20Rue%20St%20Sabin%2C%2075011%20Paris%2C%20France/@48.8586111,2.3691667,17z",23:00 à 06:00,2023-12-23,"10,99 €",https://shotgun.live/events/nocturnal-spells-1-caves-saint-sabin-paris-23-12-2023,
